"index","pos","neg","len"
924,4,2,114
925,7,5,233
926,14,8,258
927,8,6,223
928,3,4,62
929,5,2,94
930,7,1,113
931,6,5,133
932,12,1,224
933,5,3,190
934,6,2,116
935,12,0,238
936,16,2,209
937,15,13,212
938,14,5,194
939,5,4,154
940,4,4,157
941,21,2,243
942,4,3,137
943,4,4,105
944,4,1,124
945,8,6,141
946,13,5,139
947,3,2,86
948,11,4,198
949,10,4,181
950,16,3,271
951,8,1,193
952,40,21,682
953,8,7,202
954,31,18,693
955,15,12,245
956,0,1,4
957,52,41,777
958,17,19,349
959,13,6,199
960,21,12,407
961,10,3,109
962,22,21,445
963,1,3,21
964,4,3,45
965,15,9,255
966,7,3,140
967,15,16,252
968,28,20,401
969,36,36,663
970,13,18,313
971,6,7,175
972,1,0,18
973,21,16,313
974,17,4,206
975,13,11,230
976,23,16,276
977,10,9,259
978,31,29,548
979,19,24,380
980,4,6,105
981,4,2,72
982,9,7,146
983,12,15,194
984,7,6,200
985,36,36,538
986,4,3,87
987,22,11,314
988,5,3,125
989,12,10,161
990,28,27,384
991,2,0,49
992,19,15,247
993,43,15,567
994,14,13,186
995,16,12,427
996,2,0,8
997,5,2,95
998,12,11,203
999,25,14,303
1000,33,16,373
1001,19,12,204
1002,10,11,205
1003,6,7,265
1004,12,5,252
1005,7,6,96
1006,21,14,481
1007,14,9,261
1008,14,23,289
1009,35,21,420
1010,9,11,185
1011,29,9,221
1012,21,20,322
1013,18,16,310
1014,3,3,49
1015,14,10,294
1016,29,13,293
1017,26,19,430
1018,19,6,284
1019,2,2,35
1020,21,2,221
1021,27,28,538
1022,9,7,148
1023,9,3,143
1024,34,18,528
1025,16,10,367
1026,15,9,231
1027,6,3,138
1028,26,19,437
1029,10,13,227
1030,13,7,191
1031,37,24,690
1032,2,1,30
1033,12,14,295
1034,11,15,236
1035,27,13,386
1036,9,9,152
1037,5,5,93
1038,3,1,65
1039,9,7,180
1040,6,6,136
1041,27,21,426
1042,17,22,410
1043,24,10,544
1044,33,30,583
1045,27,37,569
1046,29,23,645
1047,20,19,597
1048,19,17,517
1049,15,17,384
1050,28,28,519
1051,16,15,489
1052,32,11,468
1053,19,12,430
1054,15,20,498
1055,27,15,446
1056,28,30,613
1057,24,14,520
1058,17,16,427
1059,14,23,603
1060,26,19,519
1061,27,17,474
1062,31,33,588
1063,21,22,514
1064,17,22,598
1065,14,18,354
1066,27,19,559
1067,25,29,524
1068,20,20,503
1069,5,1,113
1070,2,0,19
1071,2,0,24
1072,1,0,23
1073,4,4,181
1074,2,1,123
1075,2,0,19
1076,1,0,25
1077,13,3,202
1078,47,42,1083
1079,1,0,27
1080,0,4,130
1081,7,3,164
1082,2,0,19
1083,2,0,25
1084,36,23,584
1085,1,0,41
1086,1,2,40
1087,5,3,178
1088,8,3,120
1089,2,0,19
1090,1,0,26
1091,1,0,26
1092,14,2,194
1093,5,3,106
1094,2,0,19
1095,1,0,24
1096,1,0,41
1097,5,3,240
1098,7,6,128
1099,2,0,19
1100,1,0,24
1101,2,0,30
1102,8,1,184
1103,7,4,127
1104,2,0,19
1105,1,0,27
1106,10,2,277
1107,1,0,12
1108,5,1,184
1109,7,4,129
1110,2,0,19
1111,2,0,26
1112,50,26,772
1113,1,0,42
1114,1,2,44
1115,5,3,216
1116,6,7,146
1117,2,0,19
1118,1,0,24
1119,1,0,29
1120,5,0,138
1121,2,2,90
1122,2,0,19
1123,2,0,27
1124,2,0,41
1125,6,5,164
1126,5,0,113
1127,2,0,19
1128,1,0,24
1129,1,0,25
1130,9,9,178
1131,5,6,160
1132,2,0,19
1133,1,0,24
1134,12,8,218
1135,1,0,12
1136,14,6,200
1137,3,2,136
1138,2,0,19
1139,1,0,24
1140,52,36,817
1141,19,5,313
1142,1,1,39
1143,7,6,191
1144,1,0,134
1145,2,0,19
1146,1,0,24
1147,5,1,57
1148,5,5,148
1149,5,0,151
1150,2,0,19
1151,1,0,25
1152,1,0,21
1153,5,5,219
1154,3,7,105
1155,2,0,19
1156,1,1,26
1157,1,0,12
1158,3,1,103
1159,35,11,713
1160,5,7,110
1161,119,60,2073
1162,2,0,19
1163,1,0,26
1164,3,0,23
1165,2,3,138
1166,0,1,97
1167,2,0,19
1168,46,7,1069
1169,1,0,24
1170,56,38,961
1171,14,5,188
1172,1,0,42
1173,6,4,206
1174,2,6,111
1175,2,0,19
1176,38,18,611
1177,1,0,28
1178,4,1,53
1179,5,2,144
1180,6,1,103
1181,2,0,19
1182,32,9,679
1183,2,0,25
1184,1,0,21
1185,4,1,155
1186,5,4,136
1187,2,0,19
1188,36,12,616
1189,2,1,26
1190,1,0,28
1191,10,4,149
1192,7,2,91
1193,2,0,19
1194,22,8,684
1195,1,0,12
1196,7,6,160
1197,27,25,637
1198,0,0,11
1199,27,17,714
1200,0,0,16
1201,39,16,830
1202,25,8,380
1203,0,0,11
1204,0,0,11
1205,17,8,436
1206,0,0,11
1207,27,18,549
1208,0,0,11
1209,32,13,606
1210,0,0,12
1211,29,12,631
1212,0,0,11
1213,33,8,489
1214,0,0,12
1215,35,25,986
1216,0,0,11
1217,25,21,644
1218,0,0,11
1219,0,0,12
1220,31,20,586
1221,20,16,554
1222,0,0,12
1223,76,29,1438
1224,0,0,12
1225,59,35,1246
1226,0,0,12
1227,29,17,841
1228,0,0,12
1229,0,0,11
1230,12,7,265
1231,21,24,847
1232,0,1,34
1233,33,20,722
1234,0,0,11
1235,28,18,513
1236,0,0,11
1237,75,24,1167
1238,0,0,13
1239,78,32,1426
1240,0,0,12
1241,3,2,132
1242,9,8,230
1243,37,20,575
1244,10,6,208
1245,10,12,247
1246,26,15,507
1247,26,16,366
1248,11,5,232
1249,11,4,287
1250,11,4,287
1251,11,11,215
1252,37,34,927
1253,14,13,339
1254,6,3,243
1255,7,6,183
1256,11,6,245
1257,28,21,624
1258,9,8,216
1259,7,12,205
1260,20,5,339
1261,26,18,502
1262,68,44,1047
1263,14,12,232
1264,12,8,216
1265,44,22,676
1266,26,21,729
1267,12,13,176
1268,33,15,533
1269,12,5,217
1270,21,20,612
1271,13,11,234
1272,10,6,209
1273,23,24,555
1274,20,8,330
1275,28,16,445
1276,27,19,638
1277,22,16,356
1278,30,10,489
1279,12,1,229
1280,10,3,174
1281,9,9,185
1282,9,9,205
1283,22,11,480
1284,40,30,548
1285,76,53,1332
1286,16,12,216
1287,9,11,203
1288,18,28,463
1289,11,9,208
1290,21,16,381
1291,29,18,582
1292,16,5,279
1293,15,13,237
1294,40,22,695
1295,11,15,357
1296,22,15,487
1297,16,13,435
1298,22,26,544
1299,10,6,194
1300,32,14,439
1301,6,4,178
1302,7,9,306
1303,41,26,917
1304,9,12,218
1305,23,15,372
1306,38,25,578
1307,10,14,269
1308,29,17,625
1309,18,13,310
1310,16,7,410
1311,20,10,535
1312,28,22,563
1313,8,15,182
1314,10,8,295
1315,6,4,209
1316,9,8,234
1317,20,7,383
1318,11,8,179
1319,8,7,217
1320,37,29,685
1321,29,11,541
1322,63,31,1015
1323,43,27,618
1324,32,28,811
1325,27,25,563
1326,26,14,639
1327,34,20,725
1328,59,20,672
1329,35,15,664
1330,40,27,517
1331,29,11,553
1332,44,20,565
1333,85,31,804
1334,22,71,1130
1335,17,53,1022
1336,28,162,1978
1337,21,46,858
1338,17,71,981
1339,21,56,964
1340,20,73,1059
1341,38,149,2169
1342,34,69,1165
1343,15,45,996
1344,24,74,1148
1345,43,78,1262
1346,2,4,68
1347,18,5,249
1348,26,12,450
1349,5,4,96
1350,6,3,102
1351,61,64,1138
1352,79,82,1579
1353,8,7,230
1354,44,28,1279
1355,56,25,1281
1356,62,40,1258
1357,55,43,1355
1358,55,21,756
1359,25,20,949
1360,54,38,877
1361,91,58,1649
1362,54,39,1376
1363,44,34,913
1364,100,50,1366
1365,10,5,243
1366,51,54,1235
1367,57,37,1157
1368,84,53,1479
1369,95,44,1228
1370,62,40,1220
1371,41,34,1099
1372,103,68,1722
1373,9,2,160
1374,37,36,962
1375,29,32,941
1376,36,27,472
1377,133,81,2387
1378,77,50,1159
1379,40,30,983
1380,80,92,1621
1381,45,34,707
1382,68,55,1398
1383,87,48,1525
1384,82,48,1469
1385,17,6,238
1386,66,101,1404
1387,42,23,646
1388,90,48,1376
1389,81,30,1011
1390,24,48,1043
1391,67,67,1450
1392,4,3,176
1393,44,36,790
1394,48,37,803
1395,84,68,1476
1396,118,66,2165
1397,46,27,652
1398,35,18,635
1399,33,31,457
1400,33,17,567
1401,33,20,606
1402,12,6,282
1403,31,33,815
1404,29,18,532
1405,38,23,657
1406,67,33,1105
1407,35,15,670
1408,11,12,296
1409,20,24,435
1410,45,11,565
1411,35,23,575
1412,37,17,616
1413,28,20,467
1414,20,12,383
1415,43,39,639
1416,28,16,789
1417,16,8,489
1418,39,13,626
1419,8,5,153
1420,9,1,139
1421,37,22,659
1422,32,21,644
1423,42,21,608
1424,33,10,477
1425,92,56,1604
1426,38,18,508
1427,8,18,551
1428,34,31,473
1429,40,25,552
1430,30,30,582
1431,35,25,575
1432,29,16,537
1433,28,14,460
1434,31,27,728
1435,17,6,149
1436,28,21,534
1437,46,24,691
1438,40,25,788
1439,34,14,548
1440,6,7,198
1441,49,34,843
1442,26,22,828
1443,20,11,418
1444,13,9,299
1445,23,13,504
1446,22,23,671
1447,34,15,579
1448,32,25,778
1449,42,10,719
1450,70,40,1092
1451,16,1,292
1452,7,1,121
1453,25,23,760
1454,42,29,934
1455,8,8,322
1456,46,19,920
1457,10,9,272
1458,21,13,486
1459,20,10,314
1460,3,3,168
1461,26,13,582
1462,21,17,383
1463,25,15,635
1464,209,200,3167
1465,187,171,3451
1466,25,19,636
1467,37,13,487
1468,26,16,588
1469,48,22,761
1470,40,28,631
1471,36,21,670
1472,53,15,721
1473,29,7,328
1474,42,19,600
1475,32,10,555
1476,12,2,266
1477,7,3,227
1478,35,46,685
1479,29,13,472
1480,17,16,370
1481,34,15,512
1482,26,35,650
1483,15,7,345
1484,23,8,385
1485,38,19,564
1486,16,11,303
1487,34,20,517
1488,39,30,514
1489,30,12,405
1490,26,6,377
1491,27,10,340
1492,54,27,696
1493,30,21,545
1494,30,20,564
1495,50,44,666
1496,21,11,326
1497,29,16,558
1498,51,31,882
1499,29,11,578
1500,14,15,382
1501,27,27,563
1502,42,38,759
1503,30,40,606
1504,50,44,936
1505,37,26,739
1506,15,14,413
1507,12,18,281
1508,15,19,280
1509,10,17,268
1510,22,11,274
1511,14,7,252
1512,18,15,301
1513,17,19,378
1514,7,7,181
1515,8,5,148
1516,25,22,406
1517,18,6,272
1518,18,11,368
1519,22,19,421
1520,16,11,240
1521,16,26,392
1522,4,13,219
1523,0,0,0
1524,20,10,435
1525,9,8,170
1526,3,2,49
1527,18,11,280
1528,9,13,315
1529,7,13,157
1530,34,18,579
1531,13,22,356
1532,12,9,302
1533,15,14,222
1534,16,8,364
1535,20,19,367
1536,4,12,187
1537,21,29,385
1538,18,17,334
1539,34,32,447
1540,16,17,374
1541,10,9,289
1542,17,9,240
1543,25,6,327
1544,22,13,340
1545,5,4,114
1546,15,11,269
1547,12,10,177
1548,29,13,440
1549,90,35,1167
1550,7,15,227
1551,17,11,335
1552,25,7,421
1553,12,10,266
1554,15,10,254
1555,162,81,3683
1556,8,1,156
1557,95,39,1567
1558,30,19,789
1559,10,3,195
1560,7,11,265
1561,44,18,931
1562,40,31,991
1563,9,8,275
1564,51,27,822
1565,20,10,377
1566,55,35,1013
1567,153,78,3554
1568,26,16,536
1569,43,43,969
1570,58,41,1047
1571,23,15,304
1572,6,4,152
1573,41,14,849
1574,58,23,1291
1575,50,23,807
1576,27,21,817
1577,13,17,283
1578,43,30,839
1579,17,11,270
1580,14,7,249
1581,21,15,447
1582,17,15,425
1583,26,16,554
1584,47,27,931
1585,14,14,280
1586,175,82,3840
1587,22,18,545
1588,49,21,1026
1589,48,26,1202
1590,8,6,156
1591,46,27,1289
1592,42,30,837
1593,41,37,956
1594,19,7,596
1595,31,17,646
1596,182,85,4006
1597,41,26,763
1598,37,27,713
1599,8,3,156
1600,49,22,1212
1601,48,23,837
1602,28,15,832
1603,18,9,258
1604,45,17,810
1605,9,6,298
1606,18,22,606
1607,38,21,736
1608,21,19,691
1609,162,84,3894
1610,17,13,341
1611,21,18,406
1612,26,22,819
1613,28,21,921
1614,13,6,292
1615,18,12,464
1616,2,3,157
1617,11,8,351
1618,38,45,886
1619,13,9,371
1620,10,4,183
1621,13,9,278
1622,3,3,108
1623,11,8,239
1624,18,16,430
1625,66,36,1091
1626,16,8,437
1627,7,5,278
1628,11,8,378
1629,32,19,464
1630,5,2,222
1631,10,11,445
1632,3,1,143
1633,3,6,125
1634,12,12,359
1635,12,8,470
1636,8,3,305
1637,25,24,540
1638,57,66,1098
1639,17,11,542
1640,11,14,196
1641,13,5,266
1642,12,13,241
1643,20,15,343
1644,9,7,296
1645,23,27,506
1646,31,24,847
1647,25,31,624
1648,20,18,488
1649,17,26,441
1650,2,1,63
1651,7,7,345
1652,17,21,768
1653,15,12,491
1654,8,6,181
1655,17,5,257
1656,13,3,268
1657,16,1,334
1658,10,6,265
1659,0,0,0
1660,99,153,3302
1661,4,14,212
1662,3,11,181
1663,18,39,633
1664,47,82,2600
1665,22,45,1089
1666,77,73,2235
1667,19,30,756
1668,22,16,604
1669,30,16,621
1670,8,27,803
1671,21,42,972
1672,33,18,716
1673,4,18,342
1674,6,10,176
1675,46,17,995
1676,12,23,652
1677,9,18,484
1678,21,6,295
1679,118,31,2252
1680,6,14,226
1681,13,9,332
1682,9,3,178
1683,9,3,258
1684,6,1,60
1685,18,10,299
1686,55,20,790
1687,5,1,112
1688,13,1,263
1689,16,6,339
1690,6,2,229
1691,18,7,307
1692,4,2,51
1693,13,10,297
1694,95,37,1204
1695,42,10,711
1696,23,5,489
1697,1,2,60
1698,20,3,417
1699,2,2,117
1700,7,3,119
1701,13,4,272
1702,16,6,239
1703,1,1,27
1704,13,8,298
1705,7,1,104
1706,13,7,308
1707,4,0,81
1708,3,1,54
1709,8,6,169
1710,5,0,67
1711,11,6,204
1712,5,1,105
1713,25,18,652
1714,9,6,231
1715,9,1,141
1716,2,0,17
1717,4,0,79
1718,1,1,14
1719,11,4,120
1720,25,10,451
1721,8,8,268
1722,11,4,271
1723,14,11,351
1724,23,8,370
1725,13,7,398
1726,6,1,106
1727,7,3,110
1728,55,29,1082
1729,2,0,24
1730,8,4,197
1731,16,6,215
1732,2,1,25
1733,1,0,36
1734,51,26,942
1735,12,2,130
1736,69,25,1016
1737,1,0,23
